Vehicle,restaurant,food delivery,Problem,work,เวลาในการรออาหาร,ราคาอาหาร
รถจักรยานยนต์,,สะดวกสบาย,กินไปก่อนแล้วค่อยไปหากินที่อื่นตอนเย็นๆ,,10 นาทีขึ้นไป,300-500 บาท
รถยนต์,,หิวครับ,คนเยอะ,,10 นาทีขึ้นไป,500 ขึ้นไป
รถจักรยาน,,ขี้เกียจ,ควันเยอะทาก,,6 - 10 นาที,300-500 บาท
เดิน,,ขี้เกียจออกไปข้างนอก,คณะอื่นเยอะมาก อาหารซ้ำซาก บางทีอยากกินแถวซอยหอ แต่เวลาก็ไม่ค่อยพอ เลยต้องกินในคณะไปก่อน โรงอาหารร้อนมาก และอบมาก ,,10 นาทีขึ้นไป,100-200 บาท
รถจักรยาน,,ไม่สะดวกออกไปซื้อ,"ควันเยอะ, ร้อน, แมลงวัน ไม่ค่อยน่านั่ง",,6 - 10 นาที,100-200 บาท
เดิน,,ขี้เกียจออกจากหอ,คนเยอะ ขก.รอ,,6 - 10 นาที,100-200 บาท
เดิน,,ขี้เกียจออกไปซื้อเอง + ถ้าเป็นช่วงสอบ การออกไปข้างนอกจะเสียเวลาค่อนข้างมาก,,,1 - 5 นาที,100-200 บาท
เดิน,,"ตัวเลือกอาหารหลากหลาย, บางทีไม่สะดวกออกไปซื้อเอง",ควัน,,6 - 10 นาที,51-100บาท
เดิน,,สะดวกสบาย,คนเยอะ เบื่ออาหารในคณะ วุ่นวาย ร้อน,,1 - 5 นาที,100-200 บาท
เดิน,,สะดวก สบาย ไม่ต้องเดินทาง ไม่ต้องเสียเวลาเดินทางไปซื้ออาหาร,,,10 นาทีขึ้นไป,51-100บาท
เดิน,,ความสะดวก,คณะไอที  ตึกพระเทพ,,10 นาทีขึ้นไป,100-200 บาท
เดิน,,สะดวก รวดเร็ว,ร้านอาหารจำนวนมากพอรับจำนวนนักศึกษา,,6 - 10 นาที,100-200 บาท
รถจักรยาน,,อยากกินอาหารสิ่งนั้นๆ,รอคิวนาน,,10 - 20 นาที,100-200 บาท
เดิน,,,ต่อคิวนาน คนเยอะมาก เนื่องจากหลายคณะมากินโรงอาหารเดียวกับเรา ทำให้บางร้านต้องรอคิวนาน และอาหารไม่ค่อยหลากหลาย,,มากกว่า 30 นาที,100-200 บาท
เดิน,,ไม่อยากออกไปข้างนอก,ควันที่ร้านข้าวตามสั่งทำ,,1 - 10 นาที,100-200 บาท
รถยนต์ส่วนตัว,,สะดวก,,,10 - 20 นาที,51-100บาท
เดิน,,โปรโมชั่น,,,10 - 20 นาที,300-500 บาท
รถยนต์ส่วนตัว,,สบาย ไม่ต้องออกไปซื้อเองคับ ,,,10 - 20 นาที,300-500 บาท
เดิน,,สะดวก+ขี้เกียจ,,,1 - 10 นาที,
เดิน,,ไม่เปลืองเวลาและค่าเดินทาง,,,มากกว่า 30 นาที,
เดิน,,,,,1 - 10 นาที,
เดิน,,,,,10 - 20 นาที,
เดิน,,บางทีเราไม่สดวกที่จะไปซื้ออาหารเอง,,,มากกว่า 30 นาที,
เดิน,,อยากกินแต่ขก ออกไปเอง,,,10 - 20 นาที,
รถยนต์ส่วนตัว,,สะดวก เมื่ออยากรับประทานอาหารที่ไม่อยู่ในบริเวณใกล้เคียง,,,20 - 30 นาที,
,,สะดวก ไม่ต้องเดินทางด้วยตัวเอง,,,10 - 20 นาที,
เดิน,,สะดวก ไม่ต้องเดินไปไกล,,,10 - 20 นาที,
เดิน,,เพราะว่าไม่อยากออกไปซื้อข้างนอก แล้วก็ลดเวลาการออกไปซื้อไว้ไปทำอย่างอื่นด้วย,,,,
เดิน,,สะดวก,,,,
เดิน,,สะดวก รอกินอย่างเดียว ค่าส่งราคาถูก,,,,
เดิน,,อยากทานอะไรที่ไม่ขายบริเวณนั้น,,,,
รถยนต์ส่วนตัว,,,,,,
เดิน,,,,,,
รถจักรยานยนต์,,,,,,
เดิน,,,,,,
รถจักรยานยนต์,,,,,,
รถจักรยานยนต์,,,,,,
